"card-featured__middle-section__header-badge","card-featured__middle-section__price","card-featured__middle-section__installment","attribute-text","attribute-text 2","attribute-info 2","attribute-info 3","attribute-info 4","card-featured__middle-section 3"
"Rumah","Rp 1,15 Miliar","Cicilan: 4 Jutaan per bulan","3","2","100 m²","LB :","180 m²","Rumah 2 Lantai Cinambo Indah dekat Mizan Soekarno Hatta, Semi Furnished, Full Kayu Jati, 2.5 Lantai...."
"Rumah","Rp 1,17 Miliar","Cicilan: 4 Jutaan per bulan","2","1","80 m²","LB :","54 m²","Rumah Baru Cinambo Dekat Kampus Uin Bandung 1 Lantai L. Tanah 80m² L. Bangunan 54m² K. Tidur 2, K...."
"Rumah","Rp 730 Juta","Cicilan: 2 Jutaan per bulan","2","1","74 m²","LB :","43 m²","Luas Tanah 74m Luas Bangunan 43m Lebar Muka 6m Kamar Tidur 2 Kamar Mandi 1 Carpots 1 Listrik 2200..."
"Rumah","Rp 900 Juta","Cicilan: 3 Jutaan per bulan","2","1","81 m²","LB :","55 m²","ADA SHOW UNIT 81/55 Dimensi 6x13.5 m 1 lantai 2 KT 1 KM Carport 1 Taman Unfurnished..."
"Gudang","Rp 48 Miliar Total","Cicilan: 184 Jutaan per bulan","","","3926 m²","LB :","5042 m²","Gudang Dijual Bandung Gudang siap dipakai usaha daerah Cinambo LT 3926 m2 LB 5042 m2 1 lantai Listrik..."
"Rumah","Rp 1,2 Miliar","Cicilan: 4 Jutaan per bulan","2","1","81 m²","LB :","55 m²","Luas Bangunan: 55 m 2 Luas Tanah : 81 m 2 Kamar Tidur: 2 Kamar Mandi: 1 Harga : 1,2 M More details,..."
"Rumah","Rp 1,9 Miliar","Cicilan: 7 Jutaan per bulan","3","2","81 m²","LB :","108 m²","Luas Bangunan: 108 m 2 Luas Tanah : 81 m 2 Kamar Tidur: 3 Kamar Mandi: 2 Harga : Start From 1,9 M..."
"Rumah","Rp 760 Juta","Cicilan: 2 Jutaan per bulan","2","1","72 m²","LB :","55 m²","Rumah Dijualsewa Bandung Rumah siap huni dalam cluster sangat nyaman , rumah baru di cat air Sibel..."
"Rumah","Rp 810 Juta","Cicilan: 3 Jutaan per bulan","2","1","74 m²","LB :","43 m²","Spek : LT : 74 m LB : 43 m Lebar Muka : 6m Jumlah Lantai : 1 Sertifikat : SHM IMB : Ada KT : 2 KM..."
"Rumah","Rp 750 Juta","Cicilan: 2 Jutaan per bulan","3","2","100 m²","LB :","85 m²","FOR SALE Rumah Cinambo Indah Spesifikasi: • Luas Tanah 100 m² • Luas Bangunan 85 m² • Lebar Muka..."
"Rumah","Rp 1,6 Miliar","Cicilan: 6 Jutaan per bulan","3","2","153 m²","LB :","110 m²","Dijual Rumah Dalam Komplek Di Cisaranten Wetan Bangunan Baru Tahun 2022 Luas Tanah 153 Luas Bangunan..."
"Rumah","Rp 1 Miliar","Cicilan: 3 Jutaan per bulan","3","2","125 m²","LB :","240 m²","FOR SALE , Rumah MURAH di Mainroad / Jalan Utama Sekitar Jalan Permata Tamansanri Arcamanik , Lokasi..."
"Tanah","Rp 9 Juta /m²","Cicilan: 1 Miliaran per bulan","","","34162 m²","","","Tanah Murah Strategis Bawah NJOP Mainroad Soekarno Hatta Cinambo Gedebage Bandung Spesifikasi : >..."
"Rumah","Rp 1,37 Miliar","Cicilan: 5 Jutaan per bulan","3","2","102 m²","LB :","150 m²","FOR SALE , Rumah Strategis di Sekitar Komplek Puri Ayu Arcamanik Endah Perluasan Kota Bandung . Bangunan..."
"Rumah","Rp 1,1 Miliar","Cicilan: 4 Jutaan per bulan","4","2","128 m²","LB :","200 m²","Rumah Dijual Bandung LT 128 LB 200 2 Lantai + Rooftop Lebar 7,5 meter Kamar tidur 4+1 kamar mandi..."
"Rumah","Rp 1,3 Miliar","Cicilan: 4 Jutaan per bulan","4","2","98 m²","LB :","106 m²","FOR SALE , Rumah Cantik 2 Lantai dalam Komplek Tenang Arcamanik Endah , dekat GRIYA Arcamanik Lingkungan..."
"Tanah","Rp 3,72 Juta /m²","Cicilan: 1 Jutaan per bulan","","","98 m²","","","Tanah Matang Siap Bangun di Cisaranten Wetan Spesifikasi : > Luas Tanah : 98 m2 > Bentuk Tanah :..."
"Tanah","Rp 11 Miliar Total","Cicilan: 42 Jutaan per bulan","","","2000 m²","","","Dijual: Tanah Matang/Sudah diurug cisaranteh Bandung Luas : 2000m2 Sertifikat : SHM Lokasi sangat..."
"Rumah","Rp 481 Juta","Cicilan: 1 Jutaan per bulan","2","1","119 m²","LB :","37 m²","direct buyer eksklusif SAP For Sale Rumah Pinus Regency Garden Villas III/31 repost reposisi harga..."
"Rumah","Rp 1,5 Miliar","Cicilan: 5 Jutaan per bulan","3","2","108 m²","LB :","81 m²","P Luas Tanah 108 m² Luas Bangunan 81 m² Kamar Tidur 3 Kamar Mandi 2 Harga mulai 1,5 M an Selling..."